店舗名,最寄り,評価,URL
煮干鰮らーめん 圓 八王子本店,京王八王子駅,3.79,https://tabelog.com/tokyo/A1329/A132904/13091258/
青島食堂 秋葉原店,岩本町駅,3.79,https://tabelog.com/tokyo/A1310/A131001/13094776/
支那そば たんたん亭,浜田山駅,3.79,https://tabelog.com/tokyo/A1318/A131805/13000705/
町田汁場 しおらーめん進化 本店,町田駅,3.79,https://tabelog.com/tokyo/A1327/A132701/13050023/
煮干しつけ麺 宮元,蒲田駅,3.79,https://tabelog.com/tokyo/A1315/A131503/13180862/
自家製中華そば としおか,早稲田駅（メトロ）,3.79,https://tabelog.com/tokyo/A1305/A130504/13182315/
田中商店 本店,六町駅,3.79,https://tabelog.com/tokyo/A1324/A132404/13003726/
六厘舎,東京駅,3.79,https://tabelog.com/tokyo/A1302/A130201/13093047/
風雲児 新宿本店,南新宿駅,3.79,https://tabelog.com/tokyo/A1304/A130401/13044091/
はやし,渋谷駅,3.79,https://tabelog.com/tokyo/A1303/A130301/13003367/
らぁ麺やまぐち,面影橋駅,3.79,https://tabelog.com/tokyo/A1305/A130504/13151200/
麺や 七彩,八丁堀駅,3.79,https://tabelog.com/tokyo/A1302/A130203/13184399/
麺処 晴,入谷駅,3.79,https://tabelog.com/tokyo/A1311/A131104/13143115/
ソラノイロ ARTISAN NOODLES,麹町駅,3.79,https://tabelog.com/tokyo/A1308/A130803/13126816/
はつね,西荻窪駅,3.79,https://tabelog.com/tokyo/A1319/A131907/13000717/
らぁめん小池,上北沢駅,3.79,https://tabelog.com/tokyo/A1318/A131809/13172994/
スパイス・ラー麺 卍力 西葛西店,西葛西駅,3.78,https://tabelog.com/tokyo/A1313/A131305/13168253/
むぎとオリーブ 銀座本店,東銀座駅,3.78,https://tabelog.com/tokyo/A1301/A130101/13164932/
麺屋ひょっとこ 交通会館店,有楽町駅,3.78,https://tabelog.com/tokyo/A1301/A130102/13046637/
麺処 銀笹,築地市場駅,3.78,https://tabelog.com/tokyo/A1301/A130103/13119563/
つけ麺 五ノ神製作所,新宿三丁目駅,3.78,https://tabelog.com/tokyo/A1304/A130401/13120708/
麺処 びぎ屋,学芸大学駅,3.78,https://tabelog.com/tokyo/A1317/A131702/13093976/
銀座 朧月,銀座駅,3.78,https://tabelog.com/tokyo/A1301/A130101/13118141/
竹末東京Premium,押上駅,3.78,https://tabelog.com/tokyo/A1312/A131203/13167920/
ラーメン巌哲,早稲田駅（都電）,3.78,https://tabelog.com/tokyo/A1305/A130504/13167439/
RAMEN CiQUE,南阿佐ケ谷駅,3.78,https://tabelog.com/tokyo/A1319/A131905/13048520/
中華麺店 喜楽,神泉駅,3.78,https://tabelog.com/tokyo/A1303/A130301/13001705/
麺屋 翔 本店,西武新宿駅,3.78,https://tabelog.com/tokyo/A1304/A130401/13040181/
煮干そば 流。,十条駅,3.78,https://tabelog.com/tokyo/A1323/A132304/13175140/
かしわぎ,東中野駅,3.78,https://tabelog.com/tokyo/A1319/A131901/13209326/
SOBA HOUSE 金色不如帰 新宿御苑本店,新宿御苑前駅,3.77,https://tabelog.com/tokyo/A1304/A130402/13222172/
つけそば 神田 勝本,神保町駅,3.77,https://tabelog.com/tokyo/A1310/A131003/13192433/
らーめん改,蔵前駅,3.77,https://tabelog.com/tokyo/A1311/A131103/13191776/
麺屋鈴春,本郷三丁目駅,3.76,https://tabelog.com/tokyo/A1310/A131004/13250293/
