店舗名,最寄り,評価,ランチ,ディナー,URL
バンブルビー,本町駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270106/27007862/
ポンガラカレー 阪急サン広場店,梅田駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27091267/
定食堂 金剛石,松屋町駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270204/27097683/
ライスカレー まんてん,神保町駅,3.73,～￥999,～￥999,https://tabelog.com/tokyo/A1310/A131003/13000603/
イエローカンパニー 恵比寿本店,恵比寿駅,3.73,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130302/13014312/
白銀亭,本町駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270106/27012545/
ガネー舎,汐留駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130103/13001507/
アルペンジロー 本店,阪東橋駅,3.73,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140306/14000553/
渡邊カリー 梅田本店,北新地駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27091294/
さぼてん食堂,肥後橋駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270102/27080580/
コロンビアエイト 堺筋本町店,堺筋本町駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270106/27050088/
もりやま屋,大江橋駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270102/27002387/
辛来飯,堺筋本町駅,3.72,～￥999,"￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270106/27000068/
スパイスカリー 大陸,新福島駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270108/27093666/
らっきょ＆Star,綱島駅,3.72,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140204/14009431/
スパイスカリー バビルの塔,谷町四丁目駅,3.72,"￥1,000～￥1,999",～￥999,https://tabelog.com/osaka/A2701/A270104/27064588/
レインボウスパイス,立川駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1329/A132901/13147181/
アングル,塚口駅（阪急）,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2803/A280304/28000142/
創作カレー ツキノワ,松屋町駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270106/27092078/
カリカル 新橋本店,新橋駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130103/13013413/
カルダモン．,天神橋筋六丁目駅,3.72,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270103/27004332/
スープカリー スアゲ プラス 本店,すすきの駅（市電）,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010103/1006004/
イエロー,豊水すすきの駅,3.71,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010103/1002181/
タイガーカレー,北２４条駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010201/1003065/
