店舗名,最寄り,評価,ランチ,ディナー,URL
ポワソンルージュ,大井町駅,3.52,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1315/A131501/13034087/
ビストロ・ダルテミス,北参道駅,3.52,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1304/A130403/13030797/
マルディ・グラ,新橋駅,3.52,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130103/13004991/
キュル・ド・サック,新日本橋駅,3.51,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1302/A130202/13103897/
シェ・アンドレ・ドゥ・サクレクール,人形町駅,3.51,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1302/A130204/13056175/
ウグイス,三軒茶屋駅,3.51,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1317/A131706/13021311/
イレール人形町,人形町駅,3.51,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130204/13160351/
ラシーヌ,池袋駅,3.51,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1305/A130501/13100821/
サン・ル・スー,西荻窪駅,3.50,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1319/A131907/13000326/
レ ロジェ ビストロ ド ロア,京橋駅,3.50,"￥5,000～￥5,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1302/A130202/13154815/
ル・リオン,恵比寿駅,3.50,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1303/A130302/13027457/
ブラッスリー・ポール・ボキューズ 大丸東京,東京駅,3.50,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1302/A130201/13044389/
ビストロ　ガール・ド・リヨン,宝町駅,3.50,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1302/A130202/13040139/
ブラッスリー ポール・ボキューズ ミュゼ,乃木坂駅,3.49,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1307/A130701/13033082/
クレッソニエール,新宿三丁目駅,3.49,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1304/A130401/13020679/
メゾン・ド・ラ・ブルゴーニュ,飯田橋駅,3.49,"￥2,000～￥2,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1309/A130905/13000401/
ヴィノシティ マジス,神田駅,3.49,～￥999,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1310/A131002/13131878/
bistro oeuf oeuf,二子玉川駅,3.49,"￥2,000～￥2,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1317/A131708/13120844/
ビストロ・ダルブル 恵比寿店,恵比寿駅,3.49,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13022540/
