店舗名,最寄り,評価,ランチ,ディナー,URL
金春 本館,京急蒲田駅,3.49,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1315/A131503/13008262/
大陸,新宿西口駅,3.49,-,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1304/A130401/13000118/
亀戸餃子 本店,亀戸駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1312/A131202/13003078/
你好 恵馨閣,蒲田駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1315/A131503/13120494/
東京餃子楼 三軒茶屋店,西太子堂駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131706/13004530/
中華料理 餃子の店 三幸園 白山通り店,神保町駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13006530/
原宿餃子樓,明治神宮前駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130601/13001284/
ぎょうざ専門店 赤萬 元町店,元町駅（阪神）,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280102/28002361/
歓迎 本店,蒲田駅,3.49,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1315/A131503/13003304/
元祖ハルピン,三鷹駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1320/A132002/13054311/
亀戸ぎょうざ 錦糸町店,錦糸町駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1312/A131201/13041091/
昇龍,京成上野駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131101/13003608/
餃子荘 ムロ,高田馬場駅,3.49,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130503/13019237/
餃天堂,宇都宮駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tochigi/A0901/A090101/9001001/
萬里,桜木町駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140102/14006776/
亀戸ぎょうざ 両国支店,両国駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1312/A131201/13039735/
でっかい餃子 曽さんの店 代々木店,代々木駅,3.49,～￥999,～￥999,https://tabelog.com/tokyo/A1304/A130403/13021680/
餃子の福包 新宿店,新宿御苑前駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130402/13050544/
太陽,高円寺駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131904/13000732/
開楽 本店,池袋駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130501/13017017/
