店舗名,最寄り,評価,ランチ,ディナー,URL
千亀,栄駅（名古屋）,3.67,-,"￥5,000～￥5,999",https://tabelog.com/aichi/A2301/A230103/23001704/
炭焼 ちきんかばぶ,矢場町駅,3.67,-,"￥10,000～￥14,999",https://tabelog.com/aichi/A2301/A230103/23032616/
炭火焼とり 安喜,あびこ駅,3.66,-,"￥4,000～￥4,999",https://tabelog.com/osaka/A2701/A270404/27003697/
白金 酉玉 神楽坂店,牛込神楽坂駅,3.66,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1309/A130905/13059154/
熊の焼鳥106,天神橋筋六丁目駅,3.66,"￥10,000～￥14,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270103/27080941/
心斎橋かわぐち,心斎橋駅,3.65,-,"￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270201/27011662/
炭火焼鳥コクレ,新福島駅,3.64,-,"￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270108/27092024/
焼き鳥 貴,西鉄平尾駅,3.64,-,"￥10,000～￥14,999",https://tabelog.com/fukuoka/A4001/A400104/40033935/
バードコート,北千住駅,3.64,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1324/A132402/13003769/
喜鈴,恵比寿駅,3.63,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13188236/
侘家古暦堂 祇園花見小路本店,祇園四条駅,3.60,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/kyoto/A2601/A260301/26000850/
焼酉 川島,麻布十番駅,3.59,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130702/13234352/
焼鳥いなかもん,東水巻駅,3.57,-,"￥4,000～￥4,999",https://tabelog.com/fukuoka/A4006/A400603/40002014/
鳥つた,恵比寿駅,3.57,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13237390/
鳥おか,六本木駅,-,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130701/13281125/
