店舗名,最寄り,評価,ランチ,ディナー,URL
スターバックス リザーブ ロースタリー トウキョウ,池尻大橋駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131701/13231942/
Nicolai Bergmann NOMU,表参道駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130602/13121811/
カフェサロンソンジン,センター北駅,3.65,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140203/14007774/
吉岡コーヒー,桜山駅,3.65,～￥999,～￥999,https://tabelog.com/aichi/A2301/A230108/23005854/
ロクシタン カフェ 渋谷店,渋谷駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130301/13225574/
マーサーブランチ ギンザテラス,銀座一丁目駅,3.65,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130101/13174574/
ザ リビング,千鳥町駅,3.65,"￥8,000～￥9,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1317/A131714/13135826/
GOSPEL,元田中駅,3.64,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260302/26000296/
Cafe AMADEUS STORY,渡辺橋駅,3.64,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270108/27073953/
Cafe 婆沙羅 かえる堂,西大橋駅,3.64,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270201/27003907/
ヴァニエール,仙川駅,3.64,-,-,https://tabelog.com/tokyo/A1326/A132601/13050939/
ボン ボヌール,銀座駅,3.64,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13229565/
ザ・フレンチトーストファクトリー ヨドバシAkiba店,秋葉原駅,3.64,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131001/13189295/
森彦,円山公園駅,3.64,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0101/A010105/1000080/
カフェ アリエッティ,七条駅,3.64,"￥1,000～￥1,999",-,https://tabelog.com/kyoto/A2601/A260304/26023351/
BiOcafe,渋谷駅,3.64,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130301/13004505/
ハワイアンパンケーキハウス パニラニ,沖縄,3.62,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okinawa/A4703/A470303/47011309/
クラブハリエ 近江八幡日牟禮ヴィレッジ,近江八幡駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/shiga/A2503/A250301/25000003/
